AVIBASEID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
25C94A8F,13730.0,18441.0,7902.0,15827.0,45747.0,7928.0,4624.0,14925.0,8722.0,3832.0,4044.0,6059.0,2827.0,3514.0,2151.0,1814.0,2219.0,1228.0,852.0,157.0,76.0,90.0,111.0,20.0,77.0,9.0,28.0,22.0,40.0,26.0,39.0,39.0,16.0,60.0,30.0,166.0,32.0,51.0,134.0,5932.0,563.0,911.0,1726.0,757.0,2605.0,1317.0,4323.0,9299.0,4156.0,9964.0,4670.0,11740.0
27903EF7,5893.0,4834.0,3107.0,6153.0,1510.0,4588.0,4687.0,3531.0,3233.0,1735.0,2042.0,2087.0,2382.0,4016.0,2060.0,4383.0,1838.0,442.0,209.0,44.0,39.0,35.0,15.0,4.0,13.0,22.0,42.0,481.0,4975.0,5219.0,10228.0,7312.0,10810.0,11175.0,6493.0,16283.0,7195.0,7921.0,5503.0,3010.0,5607.0,4783.0,2428.0,4551.0,4755.0,5796.0,5421.0,4301.0,4577.0,10866.0,2053.0,4209.0
27B2749A,1287.0,777.0,758.0,818.0,778.0,1030.0,1025.0,1093.0,1109.0,1006.0,1257.0,867.0,740.0,1279.0,999.0,988.0,903.0,1464.0,1232.0,1007.0,1017.0,603.0,799.0,528.0,748.0,452.0,738.0,481.0,705.0,549.0,308.0,843.0,452.0,473.0,542.0,677.0,1139.0,1028.0,969.0,1475.0,678.0,1456.0,699.0,1139.0,1133.0,1508.0,977.0,894.0,1714.0,2106.0,670.0,1021.0
28669A3D,2497.0,1251.0,1000.0,1496.0,907.0,1433.0,1064.0,1336.0,792.0,885.0,629.0,246.0,227.0,130.0,149.0,146.0,103.0,81.0,150.0,61.0,95.0,104.0,62.0,88.0,87.0,36.0,50.0,38.0,50.0,47.0,30.0,21.0,21.0,31.0,44.0,115.0,223.0,505.0,851.0,1127.0,1137.0,1094.0,669.0,1070.0,1087.0,1023.0,1672.0,667.0,606.0,1485.0,1109.0,1335.0
2F5DF476,19.0,3.0,5.0,8.0,6.0,0.0,8.0,12.0,136.0,55.0,239.0,493.0,4606.0,12538.0,26399.0,49251.0,63630.0,64500.0,54105.0,58907.0,42875.0,45951.0,106326.0,101904.0,85066.0,82174.0,845.0,8736.0,5261.0,998.0,13909.0,5711.0,27879.0,35764.0,20145.0,3315.0,1338.0,837.0,249.0,163.0,84.0,38.0,38.0,56.0,22.0,17.0,17.0,2.0,1.0,5.0,0.0,5.0
32DCEC14,4219.0,3914.0,3282.0,7482.0,4196.0,4005.0,1710.0,3356.0,3549.0,2765.0,3284.0,3608.0,3767.0,3830.0,4743.0,3608.0,6724.0,1514.0,1126.0,192.0,971.0,2573.0,428.0,3325.0,346.0,4787.0,198.0,183.0,576.0,296.0,304.0,2481.0,3351.0,926.0,7453.0,3721.0,10479.0,4265.0,2012.0,16828.0,6329.0,10840.0,4203.0,4534.0,4615.0,4324.0,2547.0,2302.0,3109.0,4652.0,5008.0,7572.0
3558066B,986.0,678.0,480.0,769.0,440.0,458.0,334.0,432.0,384.0,350.0,439.0,361.0,343.0,386.0,309.0,422.0,361.0,321.0,169.0,176.0,222.0,217.0,182.0,161.0,152.0,167.0,223.0,243.0,255.0,233.0,361.0,447.0,518.0,663.0,592.0,756.0,784.0,1016.0,654.0,744.0,589.0,696.0,540.0,635.0,633.0,748.0,719.0,482.0,590.0,855.0,590.0,598.0
36171C2B,714.0,335.0,310.0,487.0,235.0,441.0,243.0,431.0,203.0,321.0,177.0,150.0,156.0,125.0,119.0,111.0,144.0,121.0,100.0,70.0,90.0,120.0,57.0,85.0,50.0,65.0,73.0,37.0,92.0,70.0,52.0,65.0,87.0,85.0,99.0,104.0,95.0,113.0,98.0,97.0,77.0,146.0,80.0,173.0,226.0,199.0,475.0,164.0,190.0,296.0,278.0,250.0
36B3872D,11144.0,8910.0,6349.0,9228.0,5609.0,5873.0,5931.0,7902.0,5407.0,6822.0,8495.0,7133.0,7868.0,9137.0,8537.0,10404.0,10678.0,8890.0,7715.0,4792.0,7215.0,6407.0,5115.0,4329.0,4550.0,3866.0,5097.0,3902.0,4354.0,3517.0,4950.0,5067.0,5692.0,6079.0,7016.0,9552.0,8609.0,10979.0,20058.0,15187.0,8766.0,8397.0,6069.0,6827.0,6316.0,7886.0,10176.0,7656.0,6478.0,8920.0,6954.0,9560.0
39F29B55,257093.0,165043.0,112625.0,511205.0,121606.0,704000.0,606477.0,543217.0,222466.0,356730.0,2036430.0,1246018.0,1021647.0,504547.0,1637900.0,3032920.0,3645386.0,4426470.0,4542133.0,3855381.0,2845458.0,4047383.0,8542231.0,8490358.0,7230820.0,6777327.0,6023132.0,7394535.0,3855029.0,2104071.0,2233366.0,997032.0,442958.0,177607.0,69558.0,97690.0,87875.0,33140.0,92371.0,46780.0,68701.0,15140.0,17121.0,86714.0,141202.0,807699.0,1942821.0,581238.0,59921.0,1559879.0,305122.0,4551424.0
3AC46C54,21042.0,30515.0,12236.0,22031.0,17908.0,11405.0,8649.0,10248.0,10996.0,8056.0,11584.0,7241.0,7431.0,8680.0,6726.0,13673.0,7368.0,8897.0,6957.0,7794.0,6650.0,8616.0,11683.0,12517.0,12093.0,10329.0,10974.0,13342.0,9593.0,9253.0,17124.0,21389.0,15046.0,20260.0,15927.0,20863.0,24250.0,16553.0,27321.0,20545.0,14993.0,10905.0,13872.0,11728.0,15281.0,19122.0,18357.0,10372.0,15420.0,22232.0,12581.0,15416.0
3EF081A8,546.0,418.0,262.0,362.0,236.0,375.0,206.0,305.0,487.0,578.0,521.0,335.0,176.0,91.0,116.0,186.0,127.0,175.0,121.0,129.0,126.0,88.0,175.0,115.0,197.0,81.0,242.0,118.0,167.0,118.0,189.0,212.0,136.0,198.0,223.0,309.0,199.0,228.0,183.0,269.0,166.0,260.0,96.0,172.0,209.0,202.0,250.0,228.0,240.0,289.0,290.0,280.0
3F9E1C51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1676.0,713.0,448.0,93.0,126.0,835.0,74.0,113.0,61.0,19.0,24.0,195.0,1631.0,10040.0,11651.0,22538.0,22682.0,21680.0,31672.0,85768.0,38337.0,13123.0,9868.0,13598.0,2095.0,6652.0,8545.0,3671.0,3188.0,1345.0,584.0,74.0,26.0,4.0,0.0,0.0,0.0
407E2CA8,5696.0,3250.0,1486.0,3502.0,2472.0,4976.0,2420.0,5349.0,2238.0,3249.0,2534.0,2362.0,1725.0,1745.0,1822.0,1328.0,828.0,681.0,656.0,520.0,560.0,429.0,646.0,439.0,569.0,483.0,490.0,523.0,494.0,410.0,533.0,526.0,481.0,666.0,596.0,601.0,622.0,710.0,646.0,653.0,653.0,961.0,1313.0,634.0,909.0,1321.0,1115.0,883.0,1653.0,3474.0,4191.0,3222.0
42393721,8298.0,7083.0,4670.0,7706.0,4980.0,4521.0,4415.0,6495.0,4068.0,4681.0,7177.0,5402.0,6154.0,6925.0,6496.0,7103.0,6366.0,6828.0,5433.0,4410.0,5726.0,5563.0,3563.0,3172.0,2973.0,2936.0,3267.0,3398.0,3343.0,3218.0,3991.0,4592.0,5535.0,5689.0,6149.0,7574.0,6923.0,7897.0,7331.0,7831.0,6548.0,5833.0,4720.0,5667.0,4828.0,5424.0,5195.0,3956.0,4496.0,9167.0,5965.0,8499.0
466E9077,207297.0,423592.0,116567.0,139855.0,53633.0,61725.0,46677.0,75370.0,32767.0,40461.0,67169.0,38949.0,76288.0,39899.0,52658.0,30584.0,2235.0,1450.0,363.0,54.0,137.0,103.0,119.0,71.0,14.0,8.0,126.0,130.0,304.0,62.0,32.0,45.0,32.0,169.0,11.0,53.0,264.0,1917.0,33008.0,41005.0,44966.0,140440.0,88687.0,167064.0,221852.0,124074.0,380323.0,112824.0,79125.0,90471.0,111668.0,69002.0
49D9148A,6465.0,3491.0,2834.0,4403.0,2779.0,2827.0,2416.0,3467.0,2233.0,2542.0,3325.0,1929.0,2512.0,2916.0,3002.0,3214.0,2721.0,2683.0,2880.0,2242.0,2871.0,2728.0,5154.0,2376.0,3053.0,3326.0,4420.0,3614.0,3709.0,3327.0,5109.0,5124.0,4446.0,4468.0,4890.0,8344.0,5107.0,6453.0,3917.0,3917.0,4160.0,4688.0,3034.0,3746.0,3776.0,4247.0,4802.0,3325.0,2765.0,4378.0,3703.0,3853.0
4A5B4883,26446.0,14257.0,10129.0,14613.0,7980.0,12405.0,8155.0,10758.0,6356.0,7586.0,5683.0,4160.0,3007.0,2946.0,3272.0,1956.0,2395.0,2016.0,2222.0,825.0,1400.0,1891.0,1299.0,1768.0,1156.0,1017.0,756.0,600.0,644.0,428.0,393.0,365.0,309.0,435.0,283.0,417.0,428.0,735.0,1587.0,2661.0,5373.0,5798.0,3885.0,6481.0,6107.0,8005.0,13269.0,6493.0,5098.0,12685.0,10303.0,12142.0
526A3692,12.0,1.0,1.0,1.0,4.0,1.0,0.0,3.0,6.0,4.0,9.0,34.0,246.0,363.0,428.0,629.0,478.0,495.0,477.0,442.0,601.0,468.0,434.0,378.0,316.0,414.0,436.0,541.0,469.0,426.0,424.0,436.0,515.0,311.0,294.0,249.0,54.0,25.0,9.0,5.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0
5284C27B,5773.0,4257.0,4962.0,8003.0,2959.0,5978.0,6170.0,9549.0,2127.0,5732.0,1884.0,1770.0,4337.0,940.0,605.0,784.0,411.0,590.0,246.0,223.0,99.0,149.0,127.0,318.0,316.0,873.0,900.0,2147.0,2315.0,2184.0,7803.0,3291.0,7283.0,8544.0,4069.0,4347.0,2701.0,6739.0,3129.0,5510.0,4400.0,4411.0,2180.0,3453.0,4776.0,4727.0,3814.0,1891.0,2196.0,4312.0,2482.0,4735.0
52F63879,377.0,233.0,171.0,301.0,187.0,186.0,159.0,215.0,139.0,154.0,222.0,117.0,76.0,54.0,75.0,122.0,144.0,187.0,138.0,102.0,134.0,208.0,274.0,529.0,362.0,363.0,355.0,232.0,222.0,162.0,95.0,83.0,81.0,67.0,63.0,99.0,70.0,98.0,110.0,258.0,220.0,230.0,277.0,291.0,249.0,253.0,279.0,139.0,140.0,530.0,264.0,322.0
536A5157,7208.0,5040.0,3887.0,6324.0,3296.0,4235.0,3040.0,4654.0,2189.0,2867.0,3534.0,2676.0,3011.0,2612.0,2863.0,2612.0,2880.0,2486.0,2137.0,1334.0,2105.0,2143.0,1615.0,1327.0,1231.0,1024.0,1176.0,1110.0,1230.0,1004.0,899.0,829.0,1419.0,1186.0,1690.0,2102.0,2715.0,2896.0,3633.0,3839.0,3434.0,3155.0,3014.0,3796.0,3311.0,3761.0,5882.0,2501.0,2337.0,4697.0,4033.0,4563.0
538A9CA7,1542.0,1677.0,1409.0,1855.0,863.0,938.0,890.0,747.0,517.0,578.0,703.0,524.0,905.0,943.0,782.0,663.0,596.0,574.0,551.0,579.0,577.0,516.0,472.0,411.0,709.0,497.0,366.0,475.0,537.0,868.0,810.0,1265.0,825.0,1051.0,1413.0,2528.0,1135.0,1514.0,1120.0,895.0,839.0,1518.0,643.0,812.0,731.0,890.0,1094.0,411.0,1808.0,1229.0,1072.0,1275.0
56036504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56CCA717,137093.0,78776.0,84691.0,83703.0,37539.0,33240.0,29230.0,20369.0,7509.0,10991.0,7758.0,3628.0,3930.0,2651.0,1034.0,926.0,1987.0,812.0,470.0,220.0,360.0,450.0,566.0,815.0,336.0,383.0,279.0,544.0,501.0,125.0,371.0,450.0,3013.0,4590.0,5245.0,5501.0,6771.0,7483.0,12227.0,3737.0,13382.0,61128.0,37839.0,59552.0,61608.0,87243.0,83429.0,60402.0,63133.0,91692.0,129867.0,71766.0
575A3E3B,52084.0,20839.0,14345.0,63617.0,97866.0,51816.0,59968.0,67700.0,37096.0,47778.0,101833.0,135711.0,128399.0,61953.0,163892.0,260057.0,267114.0,157393.0,228314.0,201621.0,137236.0,231112.0,503330.0,485749.0,406840.0,392207.0,333264.0,461030.0,351890.0,267275.0,376268.0,403163.0,413743.0,460790.0,229812.0,166658.0,252070.0,163693.0,211223.0,124222.0,146607.0,117386.0,70473.0,82071.0,84718.0,82554.0,98550.0,46039.0,57035.0,69214.0,129962.0,148799.0
